Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Divertikülit,karın ağrısı,bakterital apse,donukluk,kırmızı lekeler,ishal
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,yorgunluk,eforla nefes darlığı,pansistolik üfürüm
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Gastroenterit,kusma,ishal,çökmüş gözler,dehidrasyon,mide bulantısı
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Ülseratif Kolit,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Egzama,kaşıntı,iltihaplı cilt,döküntü,,
Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,bilinç bulanıklığı,konuşma zorluğu,tek gözde görme sorunu
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Geçici İskemik Atak,konuşma bozukluğu,dizartri,kısmi yüz felci,bitkinlik,boyun tutulması
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
İntihar Girişimi,işitsel halüsinasyonlar,uykusuzluk,intihara meyilli,motor kaslarda yavaşlama,ağlamak
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
